DISTANCIA1;DISTANCIA2;DISTANCIA3;DISTANCIA4
160.58953888718904;165.07574019219177;115.67627241573788;120.43255373859678
172.73389939441535;161.38463371709216;133.4541119636259;109.12378292562992
153.11760186209813;155.8717421471897;108.97706180660222;116.40017182117903
183.61100184901775;197.4259354796122;130.91982279242512;135.4843164355196
174.26990560621763;181.60396471443016;129.07362240210043;131.64345787011217
159.0125781188394;161.01242188104618;115.10864433221339;117.41379816699569
149.96666296213968;148.2194319244275;101.83319694480774;104.06248123122954
139.7891269019161;135.80132547217644;99.56907150315303;95.46203433826454
139.7891269019161;142.90206436577463;101.78899744078434;99.90495483208028
157.09869509324386;157.63248396190426;105.11898020814318;108.60018416190647
197.76754030932378;210.80085388821365;140.356688476182;149.68299836654796
189.49670181826386;207.8942038634074;138.3979768638256;143.75326083258076
178.89102828258325;171.54008277950666;120.93386622447825;128.3160161476345
164.98484778912274;171.14321488157222;120.28299963003916;124.65151423067431
160.01562423713506;161.7188919081503;116.3872845288522;116.0
153.56106277308712;156.4736399525492;107.93516572461452;111.12605455067681
157.0;158.09174551506476;112.60994627474076;115.62439189029277
175.32826355154492;178.05897899291685;120.20815280171308;119.4026800369238
193.87109119205988;199.20090361240835;140.0;139.44532978913278
187.41664813991312;194.20092687729377;135.5912976558599;140.0142849854971
176.87566254292872;181.23189564753773;131.24404748406687;130.8166656049603
168.0773631397161;169.75276139138356;122.67436570041843;122.34786471369249
160.87883639559305;163.44418007380992;117.79643458101778;118.82760622010359
164.47796204963143;168.44286865284622;120.50726119201282;123.10970717209915
174.64249196572982;180.31361568112376;123.90722335683259;130.29965464267354
185.5693940282179;187.52333188166213;133.9589489358587;137.2443077143821
183.08741081789321;188.80677953929515;131.89389675038038;137.97463535012514
179.38784797192923;181.95878654244757;131.71180660821565;133.6899397860587
162.24980739587951;163.63679292872982;123.0690862889621;124.57929201917949
166.68833192518306;167.2423391369542;123.79418403139947;127.47548783981962
190.8219064992277;191.43667360252581;135.28118864054971;138.05795884337854
209.05740838343903;213.08449028495716;153.3883959105121;152.89865924853626
199.32385707686876;199.16073910286636;145.71547618561317;141.42842712835352
180.60177186284747;184.43969204051496;130.38404810405297;130.9083648969767
166.97604618627187;167.90771274721124;119.55333537798099;121.26417442921878
160.37767924496225;161.9783936208777;117.6860229593982;117.51595636338071
167.5857989210303;170.65169205138284;122.9186723000212;123.3288287465668
188.67962264113208;188.67167248953936;140.46351839534705;140.75865870347016
186.59046063504962;188.91532494744834;138.19189556555045;138.62178760930766
171.1899529762188;168.9644933114647;122.57650672131263;121.69634341261039
159.88120589988054;158.68522300453813;116.40017182117903;110.3177229641729
146.81280598094978;143.95138068111746;108.07404868885037;104.65180361560904
139.7855500400524;137.59360450253493;104.06248123122954;102.59142264341595
140.90067423543437;139.51702405083043;104.23531071570709;101.17806086301516
143.54441821262157;143.95138068111746;104.9952379872535;103.96634070698074
153.18289721767243;156.01281998605114;110.11357772772621;113.21660655575224
164.63899902513984;165.65325230734229;114.54693361238441;110.8873302050329
179.2344832893492;184.40173534975207;127.41271522104849;127.01574705523721
191.26160095534075;199.61963831246663;140.5844941663198;146.57762448614045
182.1318203939114;183.61100184901775;128.9728653632228;133.86933928274988
169.81166037701888;166.73931749890306;121.26417442921878;119.55333537798099
187.8004259846074;194.6997688750554;125.60652849274993;134.2013412749664
179.0111728356641;180.2720166858961;120.2538980657176;132.85330255586422
168.77203559831824;170.48753620133056;120.2538980657176;125.39936203984452
176.23280057923384;182.21415971323415;127.31064370271639;128.80993750483694
197.20547659738054;200.02499843769527;145.09651959988565;144.1700384962146
203.32486321156102;207.23416706711276;145.09651959988565;147.75655653811103
189.44656238633627;194.31160541768986;137.18600511714013;141.2267680009707
176.70880000724355;176.64653973401235;130.13838787997952;127.66362050325849
163.00306745579974;166.01204775557707;123.0690862889621;125.25174649480941
162.2004932174992;165.6804152578089;124.48293055676348;125.87692401707312
182.7840255602223;189.70766985021982;135.7645019878171;143.05593311708537
199.71980372511885;207.73540863319377;147.08500943332058;153.3883959105121
196.2090721653818;206.90335908341362;143.54441821262157;150.57224179774968
178.33956375409244;184.0244548966251;131.55227098001768;134.82581355215328
162.28986413205232;166.97604618627187;125.1758762701504;127.66362050325849
153.60013020827813;158.64425612041552;122.38055401083949;124.96399481450646
150.2431362824938;153.39491516996253;120.28299963003916;121.51131634543344
155.2063143045411;160.0312469488381;123.0447073221762;124.19742348374221
173.738308959193;180.42172818150257;132.45754036671525;133.05637902783917
185.06485349736184;191.4001044931794;139.51702405083043;144.27751037497146
197.9595918363139;206.40009689920205;147.32277488562318;153.52198539622916
189.52836199366047;198.33809518093088;136.517398158623;144.58907289280197
178.39843048636948;191.12822920751398;124.57929201917949;140.42791745233566
172.40939649566667;162.9846618550347;125.39936203984452;118.92854997854805
156.4736399525492;156.24659996300718;118.80235687897779;116.84605256490268
171.40595088852663;173.0664612222715;128.81770064707723;128.9728653632228
198.76870981117727;204.40156555173445;149.93665329064805;148.60013458944107
190.2761151589973;199.0226117806718;140.92906016858268;144.31216164966833
172.88724649319857;175.84083712266613;129.49517365523704;129.4488315899375
159.3267083699403;162.5423021862309;118.92854997854805;119.55333537798099
155.32224567009067;157.8131806916013;118.1397477566293;118.1905241548577
172.5688268488837;175.07141400011596;130.29965464267354;131.59027319676784
189.30662957223657;195.2331938989884;140.86873322352267;142.13022197970423
171.82840277439584;179.0111728356641;129.07362240210043;131.52186130069785
161.75598906995685;164.19500601419034;117.45637488020819;122.57650672131263
158.38244852255568;161.69724796668618;118.80235687897779;121.0826164236634
160.90991268408544;166.715326230074;120.93386622447825;125.39936203984452
175.025712396779;177.78920102188434;132.32157798333574;133.05637902783917
199.7298175035465;199.972498109115;152.16109883935513;150.14659503298768
223.13448859376265;231.35254483147577;166.29191201017565;169.9941175452845
234.09613409879285;241.6795398870165;174.1551032843999;178.33115263464205
220.20445045457188;224.4147945212169;159.17600321656528;160.63934760823702
191.14915641979695;197.4968354176846;133.79461872586654;135.94851966829208
167.45148551147582;174.18381095842403;120.34118164618461;123.1665539016173
153.4959282847594;156.16017418023074;111.07204868912791;113.27841806805037
151.17208737065187;149.56603892595405;111.94641575325224;106.7941945987702
152.0131573252789;153.68799562750502;113.95174417269794;116.77756633874505
174.79416466232504;178.92177061498134;123.5556554755791;128.06248474865697
196.5400722499104;201.81674856165927;145.45446022724775;147.98986451781082
198.45654436173174;207.03864373589778;144.3606594609487;152.97058540778355
178.01685313475238;183.34939323597447;130.96946208945045;133.05637902783917
164.83021567661677;164.21023110634732;121.91800523302537;117.38824472663352
162.82813024781683;156.16017418023074;121.65936051122412;113.17243480636087
175.41949720598336;189.805163259591;123.76186811776881;141.4955829699288
171.40595088852663;166.01204775557707;121.82774724995944;121.82774724995944
162.60381299342276;165.0242406436097;119.75391434103521;118.92854997854805
172.7946758439044;173.0664612222715;130.9083648969767;130.96946208945045
193.03885619221847;193.59752064528098;142.9475428260311;144.58907289280197
197.20294115453754;199.13814300630605;148.66068747318505;146.50938536489735
188.48076824970764;191.66898549321954;137.97463535012514;137.97463535012514
173.9482681718907;178.63090438107287;128.76334882255898;128.22246293064254
167.28717822953436;164.84234892769516;121.6552506059644;119.09659944767525
163.682619724881;161.74362429474616;120.21647141718975;118.3427226321923
173.35801106380978;171.51093259614677;127.34991166074674;126.81088281373961
186.9545399288287;186.77526602845464;135.83077707206124;137.0
199.13814300630605;201.10196418732463;147.24808997063425;146.0
189.0026454841307;192.50974001333023;138.6578522839583;138.70832707519762
171.96511274092776;173.738308959193;124.48293055676348;125.49501982150527
168.07438829280326;170.66048165876012;123.0447073221762;124.84390253432484
176.70880000724355;177.867928531256;131.52946437965906;132.6536844569347
191.09421759959145;194.982050455933;141.48498153514387;144.04513181638595
184.45866745696716;186.45374761586316;137.93114224133723;135.14806694880988
167.6305461424021;169.30741271426953;125.1758762701504;123.5556554755791
156.01281998605114;158.2940302096071;120.96693763173474;119.09659944767525
159.20113064925135;157.78466338652817;120.21647141718975;119.97082978791136
167.0478973228936;167.05687654209268;125.8729518204765;125.49501982150527
182.84966502567076;184.4911922016875;138.2931668593933;135.79396157414365
186.45374761586316;185.5640051303054;141.1134295522577;137.17871555019022
168.07438829280326;172.03778654702577;125.86500705120545;126.15070352558483
156.98407562552325;157.8131806916013;120.28299963003916;119.60351165413162
156.24659996300718;154.76756766196203;117.79643458101778;113.14592347937243
164.51443705644803;163.682619724881;124.84390253432484;122.3315167894194
179.2344832893492;178.0028089666003;134.01492454200763;130.13838787997952
199.69977466186586;202.4252948620799;147.61097520171052;147.78700890132393
197.46645284705957;201.00995000248122;144.81022063376605;147.08500943332058
175.6359872008012;181.46349495146399;130.96946208945045;132.9661611087573
162.28986413205232;163.1349134918703;119.55333537798099;118.86967653695369
158.64425612041552;157.30543537970962;118.1905241548577;116.04309544302927
161.4465855941215;165.58381563425817;119.55333537798099;123.3288287465668
167.38578195294843;174.25555945220228;123.90722335683259;127.5617497528158
168.5852899869974;171.14321488157222;123.98790263570072;124.48293055676348
164.83021567661677;164.19500601419034;123.3288287465668;120.91732712891069
172.69916039170545;176.23280057923384;127.47548783981962;132.32157798333574
186.25251676151922;193.43732835210477;137.97463535012514;145.24806367039804
191.4001044931794;200.30227157973022;140.80127840328723;145.91093173576817
185.930094390338;192.21082175569617;135.14806694880988;138.70832707519762
170.66048165876012;168.92897915988246;127.01574705523721;125.15989773086265
164.12495239907915;161.9783936208777;119.97082978791136;118.0889495253472
162.24672569885655;165.65325230734229;118.3427226321923;121.69634341261039
161.9876538505327;219.61784991206886;80.09993757800315;156.48642113614844
155.58920271021378;204.47493733951845;81.30190649671138;151.85519418182574
151.16216457830973;201.79197209007103;79.51100552753688;149.30505684671232
141.59802258506295;191.637678967368;73.24616030891995;144.75496537252184
139.74262055650738;180.23595645708434;75.8946638440411;131.88252348207476
139.44532978913278;187.72320048411703;78.44743462982075;132.59336333316233
133.843191832831;187.608635195718;81.30190649671138;124.34226956268733
135.95955280891445;196.6367208839692;84.29116205154607;122.4499897917513
138.07968713753664;186.81006396872735;72.03471385380801;133.60014970051492
140.24621207005913;188.35073665903195;76.15773105863909;134.30189872075525
141.9929575718458;194.164878389476;82.22530024268686;138.75518008348374
157.0350279396288;214.45046047980406;70.02856560004639;142.29898102235308
164.24676556937126;219.31712199461307;67.11929677819934;154.30489298787643
165.51132891738862;223.51733713517615;78.77182237323191;159.7779709471866
173.1415605797753;226.29184695874486;82.15229759416349;146.44111444536333
179.20100446147057;228.52789764052878;100.44899203078147;141.8238343861849
162.15116404145854;193.60010330575756;76.94153624668537;163.24827717314508
161.01242188104618;199.0226117806718;84.69356528095862;170.84495895401773
161.15210206509875;196.5400722499104;88.54942122905152;165.4841382127
167.50522379914005;221.812984290821;78.02563681252464;165.10905486980417
158.07909412695912;210.50890717496966;90.07774419910837;170.30854353202602
155.7562197795003;200.47942537826668;85.5102333057278;157.84802817900513
156.60459763365824;205.4288197892399;87.20665112249179;160.46494944379597
149.46571513226704;203.74493858744074;89.05054744357274;148.14182393908885
147.2175261305528;207.23416706711276;88.11923740024082;145.49914089093448
149.9333185119305;221.60324907365415;93.94147114027967;150.3761949245957
150.26975743641833;219.59280498231266;86.05230967266364;148.47558721890948
149.164338901763;220.16584657934573;95.2102935611481;148.51935900750448
146.4137971640651;206.95893312442448;85.14693182963201;141.50971698084905
148.43180252223578;204.41379601191306;84.02380615040002;133.60014970051492
147.220922426128;200.1724256734678;82.00609733428362;131.20975573485381
143.75326083258076;198.11612756158948;82.15229759416349;136.48443134658254
146.01369798755184;198.0353503796734;80.06247560499239;139.7855500400524
146.972786596703;198.90952717253137;79.62411694957753;147.14618581533128
150.08331019803634;200.0099997500125;81.25269226308751;151.44966160411187
152.64337522473747;203.06649157357302;82.71033792700887;156.66843970627906
153.05227865013967;196.60366222428308;82.22530024268686;151.81897114655993
153.39491516996253;203.82835916525454;85.38149682454625;158.7765725792064
156.11534197509224;206.60348496576722;85.86617494683223;157.00318468107582
158.3161394173064;211.81595785020542;86.03487664894976;159.24823389915505
158.07909412695912;211.06634028191232;86.16263691415206;158.09490820390135
157.20368952413298;213.283848427395;86.97700845625813;153.11433636338563
152.0526224699857;204.2865634347986;89.96110270555825;146.54009690183776
156.0;214.0840956259946;88.54377448471462;144.4714504668656
160.04999218994044;219.91361940543837;88.25531145489205;144.66858677681205
159.00314462299164;220.19309707617992;92.19544457292888;138.7984149765407
164.01219466856725;221.55134844996994;85.61541917201598;136.69308687713507
160.0281225285106;221.0701246211256;90.80198235721508;138.3979768638256
156.02884348735012;223.5106261456041;97.73944955850733;139.12943613772032
157.40711546813887;228.17756243767704;98.32598842625484;146.8945199794737
163.3064603743526;233.75414434828744;97.0;144.08677940741129
160.25292509030842;228.10962276940444;92.19544457292888;150.98675438593943
158.02847844613325;226.04645540242387;94.00531899844816;142.6639407839276
155.00322577288512;224.1428116179504;94.08506789071261;139.11865439257238
156.54072952429985;221.60324907365415;93.02150289046077;136.8575902169843
155.2610704587599;220.60145058453264;88.0056816347672;141.8238343861849
152.26621424334422;214.61826576505553;84.0535543567314;141.35416513141735
153.57408635573907;213.5720019103628;86.37129152675674;139.2838827718412
151.19854496654392;208.33866659840174;84.38009243891595;139.9428454762872
147.50254235097103;203.65657367244495;85.15867542417507;138.06158046321215
150.0966355385756;205.0609665440988;82.87339742040264;133.25539388707685
143.54441821262157;203.9730374338726;84.2140130857092;132.74034804836094
140.03570973148243;200.06249023742558;87.09190547921202;130.6981254647518
148.70776711389354;207.17142660125697;83.38465086573187;129.5414991421668
150.62536307010186;208.0600874747485;81.39410298049853;132.4009063413087
153.95129099815955;210.10949526377908;83.74365647617735;141.66156853571826
153.39491516996253;209.11719202399405;88.29496021857646;144.40221604947757
157.40711546813887;215.05813167606567;82.96987405076617;149.81655449248592
153.83432646844463;212.60761980700502;89.49860334105779;151.64761785138597
165.14841809717706;228.21481108815001;80.8084154033477;161.7714437099453
163.1502375113196;222.84748147555987;89.31965069345043;169.0
159.20113064925135;212.4547010541306;90.13878188659973;156.54072952429985
166.14752480852673;222.44100341438852;85.61541917201598;159.3267083699403
161.31026005806325;221.32555207205516;90.62008607367353;159.15401345866212
158.02847844613325;212.72047386182646;92.30926280715278;155.24174696260025
161.01242188104618;222.43425995111454;87.28115489611719;152.50573759698355
164.00304875214974;224.51057881534223;93.92017887546851;155.6181223379848
163.02760502442524;226.61200321253946;95.60334722173695;152.46311029229332
160.5615146914104;235.05318547086316;100.04498987955368;164.12495239907915
170.02646852769718;246.02845363900494;96.02083107326243;153.52198539622916
177.13271860387624;248.21361767638777;95.08417323613851;153.95129099815955
169.0266251216062;236.22446951998856;92.04890004774636;155.63097378092831
158.00316452527144;224.8288237748888;90.19977827023745;153.87332452377834
164.34719346554112;225.84286572747877;86.83317338436964;148.12494725737457
154.00324671902212;219.40145851839728;90.19977827023745;153.8440769090575
156.05127362504928;221.40009033421825;87.20665112249179;157.4960316960399
162.30834852218786;221.46105752479374;86.57944328765345;155.7080601638849
150.11995203836165;206.63494380186523;86.0;151.71684151734772
143.68368035375485;202.5487595617411;84.2140130857092;137.84411485442533
140.80127840328723;200.32224040280698;85.28774824088158;136.74063039199433
139.5600229292042;200.1724256734678;83.15046602394962;128.22636234409833
145.16542288024377;203.03940504246953;76.02631123499285;126.01587201618692
132.19682295728592;185.60711193270586;70.02856560004639;124.61942063739504
132.90974381135493;185.9704277566732;76.4198926981712;130.91982279242512
134.48048185517482;189.50461735799473;78.77182237323191;129.52991932368366
140.42791745233566;197.3448757885545;78.10249675906654;135.36986370680884
142.70599146496969;200.86313748420838;80.02499609497022;137.84411485442533
139.0;203.7253052519495;89.44271909999159;147.02720836634285
153.40469353966978;205.20477577288497;116.27553482998907;157.15597347857954
158.7765725792064;208.4346420343797;114.49017425089369;158.42032697857937
158.02847844613325;204.7266470198738;122.11879462228572;157.64834283937145
153.11433636338563;211.22736565132843;114.23659658795863;159.2388143638353
152.5417975507041;210.05951537600004;114.23659658795863;159.21055241409096
145.46477236774544;210.8459153030952;110.13627921806692;156.18578680533003
141.79210133149166;212.55822731665788;103.84603988597736;153.07514494521962
143.01398533010678;215.62931155109686;94.53041838477179;147.35331689514152
149.6262009141447;216.6702563805194;84.02380615040002;143.75673897247393
152.31546211727817;207.45360927204905;79.07591289387686;136.5283853270081
149.64624953536256;202.41047403728888;78.5175139698144;131.7459676802292
147.46185947559457;200.9975124224178;78.63841300535;132.01893803541975
143.09786860746738;197.6486782146544;78.77182237323191;128.16005617976296
145.33065746772084;201.67548190099856;79.22752047110903;125.92458060283545
144.30869689661813;199.25109786397664;78.5175139698144;123.71337841963576
144.81022063376605;200.24984394500785;79.40403012442127;122.3315167894194
144.5441109142811;199.90247622278218;81.02468759581859;120.37026210821342
142.86357128393507;200.84820138602188;83.05419917138447;123.17467272130257
146.15402833996743;206.93235609734887;83.09632964216891;127.4244874425634
149.64290828502365;208.96889720721597;87.0;126.49110640673517
149.4590244849738;208.0600874747485;83.05419917138447;129.5414991421668
146.32839779072276;211.7663807123312;89.00561780022652;136.4587849865299
147.87156589419075;207.6174366473105;85.09406559801923;134.23859355639868
149.4590244849738;212.30167215544958;86.0;140.06427096158393
148.75819305167698;208.94257584322062;87.05170877128145;144.5060552364502
152.08221460775746;210.535032714273;88.45903006477066;148.11144452742334
154.00324671902212;211.10187114282053;88.95504482602435;151.43315356948756
159.31415505221122;210.67985190805504;89.56003573022959;155.08062419270823
154.02921800749363;212.51352898109803;90.55385138137417;153.6522046701576
152.47294842036735;210.21179795625173;86.09297300012354;150.88074761214565
151.75308893067054;206.64946164943183;83.21658488546619;147.27525250360293
147.36349615830918;202.72641663088706;85.37564055396598;143.96180048887967
151.92103211866353;205.8275977608445;81.58431221748455;139.2300254973761
153.57408635573907;205.86646157157313;78.26237921249263;136.4587849865299
143.61058456812992;198.31288409984865;83.18653737234169;135.91173606425605
144.06942770761603;199.15069670980316;80.89499366462674;129.5414991421668
137.87313008704777;197.57024067404484;85.15867542417507;129.1394595001853
142.1442928857856;201.22872558360052;84.09518416651456;121.07848694132248
139.05754204644924;194.50963986394095;83.21658488546619;119.47384651043926
144.49913494550754;203.85534086699815;86.00581375697809;119.70797801316336
148.33745312630927;219.40145851839728;85.00588214941364;132.84953895290718
153.3101431738944;220.05681084665386;86.02325267042627;131.2288078129189
153.73028328862208;224.0892679268688;86.02325267042627;138.7984149765407
154.05518491761322;216.27991122617004;85.0235261559999;141.8344104933637
151.2679741386127;210.535032714273;89.35882720806042;145.60906565183365
150.05332385522155;208.83007446246816;90.55385138137417;149.56603892595405
150.00333329629711;209.34421415458323;90.44888059008801;150.0966355385756
147.0;208.58091954922435;91.26883367283708;150.41608956491322
147.08500943332058;209.78083801910984;92.34717104492157;148.94965592440957
149.21461054467824;209.88091861815357;89.08984229416954;147.87156589419075
148.75819305167698;208.12496246245908;85.05292469985967;145.34441853748632
145.8800877433243;201.41995928904365;82.38931969618392;143.54441821262157
167.83920876839238;185.60711193270586;100.4987562112089;143.69411957348845
161.40012391568973;118.82760622010359;112.0044641967453;58.52349955359813
147.80054127099805;114.9826073804208;106.94391053257777;58.52349955359813
146.81961721786362;113.0;111.89280584559492;62.39390995922599
166.1836333698358;119.85407794480753;123.43419299367578;58.9406481131655
157.7244432546839;115.52056094046635;115.96551211459379;62.0966987850401
143.54441821262157;107.07940978544848;111.51681487560519;57.48912940721924
145.7737973711325;108.67382389517726;117.47765745025733;63.56886030125127
157.87653403846943;119.03780911962384;130.36103712382777;63.12685640834652
177.1383639983163;135.5949851580065;133.98880550254935;79.93122043357026
144.27751037497146;112.8716084761797;119.57006314291216;54.08326913195984
141.9929575718458;111.75866856758807;118.70130580579136;62.24146527838174
150.86417732516887;124.45481107614924;133.2816566523691;56.43580423808985
153.05227865013967;118.82760622010359;127.47548783981962;61.1310068623117
169.11830178901394;127.47548783981962;133.09395177843356;55.036351623268054
151.09268678529745;122.18837915284743;128.00390619039717;53.23532661682466
145.67086187704115;116.40017182117903;130.0;69.92138442565336
149.9333185119305;123.79418403139947;126.60568707605516;63.89053137985315
154.20765220960988;121.43310915891102;126.15070352558483;54.3323108288245
159.76545308670458;115.15641536623133;103.46496991735899;57.28001396647874
163.24827717314508;119.68291440301745;111.36426715962351;59.665735560705194
173.25414857947845;119.50732195141852;125.19584657647394;70.06425622241343
184.04347312523745;138.75518008348374;141.7391971192161;80.65358020571685
189.02116283633427;147.95945390545344;150.04665940966495;86.81589716175259
188.904737897174;147.2311108427835;148.94965592440957;76.53757247260981
197.3068675946177;140.57738082636197;155.3962676514465;70.02856560004639
180.40509970618902;135.44740676735012;136.82470537150812;62.36184731067546
166.96406799069075;128.9961239727768;135.20724832641184;58.137767414994535
154.31137352768266;124.73972903610141;128.6001555209013;60.876925020897694
149.4824404403407;123.0447073221762;130.09611831257686;68.35202996254024
162.2004932174992;128.76334882255898;142.3938200906205;73.16419889536138
174.64249196572982;139.29106216839614;138.13399291991817;70.178344238091
178.2133552795637;136.93794214898952;143.42245291445826;65.62011886609167
172.35138525698017;135.14806694880988;138.00362314084367;62.64982043070834
157.1146078504478;126.24183141890805;129.3213052826177;61.61168720299745
154.20765220960988;122.18837915284743;135.20724832641184;73.76313442364011
164.80594649465777;131.64345787011217;142.88806808127822;71.84705978674423
175.41379649275024;135.5322839769182;140.1606221447379;73.06161783043132
177.23430819116257;135.0148140020198;138.2316895650198;71.0
177.49647883831386;136.06616037795732;139.9428454762872;65.30696746902278
164.07315441594946;131.84839779079607;132.85330255586422;63.89053137985315
153.44380078712857;126.90547663517127;126.01587201618692;61.35144660071187
152.41062955056645;121.51131634543344;126.81088281373961;56.00892785976178
147.898613921835;116.66190466471906;128.84486796143648;61.84658438426491
150.33296378372907;123.58397954427588;133.6899397860587;69.07966415668217
161.60445538412608;130.18832512940628;139.43098651304163;73.00684899377592
173.24260445975753;133.98880550254935;137.71347065556077;64.8459713474939
167.0478973228936;120.81390648431164;111.07204868912791;58.872744118140105
166.82026255823962;121.80722474467596;115.39497389401325;67.05221845696084
165.89454481688057;119.03780911962384;116.27553482998907;70.03570517957252
175.2369823981228;129.87686476043376;119.4361754243663;64.8459713474939
162.3730273167314;127.12198865656563;112.6809655620682;60.728905802755904
147.27185746095552;118.94956914591998;113.01769772916099;58.52349955359813
145.34441853748632;121.59769734661919;115.12167476196652;59.481089431852205
141.4213562373095;115.69356075426151;122.80065146407001;67.62396025078685
145.83552379307312;117.09824934643558;131.40015220691336;74.63243262818116
151.85519418182574;125.02799686470227;127.02755606560333;66.48308055437865
150.07331541616585;124.1491039033307;125.67020331009256;65.92419889539804
146.37281168304446;122.24974437601087;124.2014492669067;64.62197768561404
145.04137340772803;119.64113005150027;126.37246535539299;69.28924880528002
152.0690632574555;124.77980605851253;134.2013412749664;71.78439941937245
153.45683432157722;132.06059215375342;141.73566946961517;58.309518948453004
161.9783936208777;128.16005617976296;133.73481222179961;59.0
159.26079241294764;123.9395013706284;133.86933928274988;61.00819617067857
153.48289807011074;121.06196760337245;133.00375934536586;72.03471385380801
162.00308639035245;125.89678312014172;139.7891269019161;74.43117626371358
171.40595088852663;131.38112497615478;137.55726080436466;67.68308503607086
164.07315441594946;128.89142717807107;132.07573584879245;64.19501538281614
149.4824404403407;122.3315167894194;123.42204017111368;62.96824596572466
148.67750334196495;121.1486689980538;131.54847015454038;68.70953354520753
163.22070947033652;128.00390619039717;140.1606221447379;71.25307010929424
174.04022523543227;136.23509092741122;137.92751719653333;59.682493245507096
175.41379649275024;128.65457628860312;139.61733416735902;63.0
162.85576440519384;125.1718818265508;132.06059215375342;64.76109943476871
160.20611723651504;126.09916732476864;138.43771162512041;71.06335201775947
